time,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),rain (mm),wind_speed_10m (km/h)
2020-11-01T00:00,18.8,26,0,0.00,9.7
2020-11-01T01:00,18.2,27,0,0.00,9.8
2020-11-01T02:00,17.5,29,0,0.00,9.1
2020-11-01T03:00,16.7,30,0,0.00,9.4
2020-11-01T04:00,16.0,32,0,0.00,10.4
2020-11-01T05:00,14.9,46,0,0.00,9.1
2020-11-01T06:00,14.3,49,0,0.00,8.7
2020-11-01T07:00,15.8,46,0,0.00,10.8
2020-11-01T08:00,19.4,39,0,0.00,9.9
2020-11-01T09:00,22.8,34,0,0.00,9.1
2020-11-01T10:00,25.6,30,0,0.00,9.4
2020-11-01T11:00,27.5,23,0,0.00,12.2
2020-11-01T12:00,28.4,19,0,0.00,15.5
2020-11-01T13:00,28.9,18,0,0.00,15.9
2020-11-01T14:00,29.0,17,0,0.00,16.3
2020-11-01T15:00,28.8,17,0,0.00,15.7
2020-11-01T16:00,27.8,19,0,0.00,10.6
2020-11-01T17:00,23.1,31,0,0.00,10.6
2020-11-01T18:00,22.0,34,0,0.00,9.7
2020-11-01T19:00,21.0,34,0,0.00,9.1
2020-11-01T20:00,20.5,32,0,0.00,8.0
2020-11-01T21:00,20.2,31,0,0.00,10.1
2020-11-01T22:00,19.4,30,0,0.00,10.1
2020-11-01T23:00,18.1,31,0,0.00,8.6
2020-11-02T00:00,17.8,31,0,0.00,9.7
2020-11-02T01:00,17.2,31,0,0.00,9.4
2020-11-02T02:00,16.5,33,0,0.00,9.4
2020-11-02T03:00,15.9,34,0,0.00,9.4
2020-11-02T04:00,15.4,34,0,0.00,9.2
2020-11-02T05:00,14.3,46,0,0.00,7.2
2020-11-02T06:00,13.7,47,0,0.00,10.1
2020-11-02T07:00,14.9,44,0,0.00,12.6
2020-11-02T08:00,18.5,36,0,0.00,9.7
2020-11-02T09:00,22.5,30,0,0.00,8.7
2020-11-02T10:00,25.4,26,0,0.00,9.8
2020-11-02T11:00,27.5,23,0,0.00,10.4
2020-11-02T12:00,28.7,20,0,0.00,13.1
2020-11-02T13:00,29.1,18,0,0.00,15.5
2020-11-02T14:00,29.4,16,0,0.00,15.9
